congress,session,chamber,period,total_votes,missed_votes,percent,percentile,period_start,period_end,pctile25,pctile50,pctile75,pctile90
89,1965,h,0,28,5,17.8571428571,50.0,1965-01-04,1965-03-31,7.14285714286,10.7142857143,14.2857142857,16.4285714286
89,1965,h,1,53,15,28.3018867925,50.0,1965-04-01,1965-06-30,12.8447024673,17.9970972424,23.1494920174,26.2409288824
89,1965,h,2,95,26,27.3684210526,50.0,1965-07-06,1965-09-30,11.5296052632,16.8092105263,22.0888157895,25.2565789474
89,1965,h,3,21,1,4.7619047619,0.0,1965-10-01,1965-10-22,9.82142857143,14.880952381,19.9404761905,22.9761904762
89,1966,h,0,27,5,18.5185185185,50.0,1966-01-27,1966-03-31,7.12962962963,10.9259259259,14.7222222222,17.0
89,1966,h,1,51,26,50.9803921569,50.0,1966-04-06,1966-06-27,20.3981592637,30.5922368948,40.7863145258,46.9027611044
89,1966,h,2,72,41,56.9444444444,50.0,1966-07-12,1966-09-30,17.3611111111,30.5555555556,43.75,51.6666666667
89,1966,h,3,39,3,7.69230769231,0.0,1966-10-03,1966-10-21,9.71659919028,11.7408906883,13.7651821862,14.979757085
90,1967,h,0,30,1,3.33333333333,50.0,1967-01-10,1967-03-22,0.833333333333,1.66666666667,2.5,3.0
90,1967,h,1,56,0,0.0,0.0,1967-04-05,1967-06-28,0.462962962963,0.925925925926,1.38888888889,1.66666666667
90,1967,h,2,54,0,0.0,0.0,1967-07-11,1967-09-29,0.0,0.0,0.0,0.0
90,1967,h,3,92,0,0.0,0.0,1967-10-02,1967-12-15,0.0,0.0,0.0,0.0
90,1968,h,0,33,1,3.0303030303,50.0,1968-01-22,1968-03-28,0.757575757576,1.51515151515,2.27272727273,2.72727272727
90,1968,h,1,74,3,4.05405405405,50.0,1968-04-01,1968-06-27,2.00035561878,2.68492176387,3.36948790896,3.78022759602
90,1968,h,2,84,11,13.0952380952,50.0,1968-07-01,1968-09-26,6.72208538588,8.84646962233,10.9708538588,12.2454844007
90,1968,h,3,25,4,16.0,50.0,1968-10-01,1968-10-11,4.0,8.0,12.0,14.4
91,1969,h,0,16,4,25.0,50.0,1969-01-03,1969-03-27,10.9375,15.625,20.3125,23.125
91,1969,h,1,25,11,44.0,50.0,1969-04-01,1969-06-30,19.0357142857,27.3571428571,35.6785714286,40.6714285714
91,1969,h,2,44,5,11.3636363636,0.0,1969-07-08,1969-09-30,12.4116161616,13.4595959596,14.5075757576,15.1363636364
91,1969,h,3,84,27,32.1428571429,50.0,1969-10-01,1969-12-23,25.0811688312,27.4350649351,29.788961039,31.2012987013
91,1970,h,0,33,7,21.2121212121,0.0,1970-01-27,1970-03-25,23.0519480519,24.8917748918,26.7316017316,27.8354978355
91,1970,h,1,73,37,50.6849315068,50.0,1970-04-07,1970-06-30,32.941503147,38.8559792669,44.7704553869,48.3191410589
91,1970,h,2,72,37,51.3888888889,50.0,1970-07-06,1970-09-30,21.8472222222,31.6944444444,41.5416666667,47.45
91,1970,h,3,80,12,15.0,0.0,1970-10-05,1970-12-31,17.1527777778,19.3055555556,21.4583333333,22.75
92,1971,h,0,22,5,22.7272727273,50.0,1971-01-21,1971-03-31,7.95454545455,15.9090909091,24.1883116883,26.8181818182
92,1971,h,1,88,22,25.0,50.0,1971-04-01,1971-06-30,13.3333333333,20.2777777778,30.6818181818,40.9090909091
92,1971,h,2,67,22,32.8358208955,75.0,1971-07-01,1971-09-30,2.43055555556,3.47222222222,11.3339552239,24.2350746269
92,1971,h,3,130,59,45.3846153846,75.0,1971-10-04,1971-12-16,9.97379813169,12.8360674413,22.1416083916,36.0874125874
92,1972,h,0,63,14,22.2222222222,50.0,1972-01-18,1972-03-29,7.04985119048,15.0173611111,22.2222222222,22.2222222222
92,1972,h,1,112,36,32.1428571429,75.0,1972-04-11,1972-06-30,12.8318584071,20.1267639321,26.278957529,29.7972972973
92,1972,h,2,94,14,14.8936170213,50.0,1972-07-17,1972-09-28,5.25757575758,10.4468085106,17.6919518964,22.7289546716
92,1972,h,3,50,2,4.0,0.0,1972-10-02,1972-10-18,4.0,4.0,9.77083333333,20.1583333333
93,1973,h,0,35,11,31.4285714286,83.3333333333,1973-01-03,1973-03-29,3.57142857143,8.57142857143,21.6071428571,28.2142857143
93,1973,h,1,186,44,23.6559139785,83.3333333333,1973-04-02,1973-06-30,6.03122855182,7.95339412361,19.7196620584,23.3870967742
93,1973,h,2,125,34,27.2,83.3333333333,1973-07-10,1973-09-26,0.961538461538,3.46153846154,7.69230769231,17.8307692308
93,1973,h,3,167,79,47.3053892216,83.3333333333,1973-10-01,1973-12-21,6.58778482205,9.74860335196,12.9166666667,30.5971390552
93,1974,h,0,77,26,33.7662337662,83.3333333333,1974-01-21,1974-03-28,9.41558441558,11.1158578264,14.8026315789,24.7778537252
93,1974,h,1,166,34,20.4819277108,83.3333333333,1974-04-01,1974-06-28,8.91272189349,11.0140665415,17.4892817914,20.0042774649
93,1974,h,2,145,21,14.4827586207,50.0,1974-07-01,1974-09-30,7.65377446412,12.4137931034,15.7828518173,24.8889300259
93,1974,h,3,141,15,10.6382978723,66.6666666667,1974-10-01,1974-12-20,5.2251552795,8.96454265159,10.4967090158,19.2477203647
