congress,session,chamber,period,total_votes,missed_votes,percent,percentile,period_start,period_end,pctile25,pctile50,pctile75,pctile90
92,1971,h,0,21,6,28.5714285714,75.0,1971-01-21,1971-03-31,7.95454545455,15.9090909091,24.1883116883,26.8181818182
92,1971,h,1,88,42,47.7272727273,75.0,1971-04-01,1971-06-30,13.3333333333,20.2777777778,30.6818181818,40.9090909091
92,1971,h,2,72,2,2.77777777778,25.0,1971-07-01,1971-09-30,2.43055555556,3.47222222222,11.3339552239,24.2350746269
92,1971,h,3,133,15,11.2781954887,25.0,1971-10-04,1971-12-16,9.97379813169,12.8360674413,22.1416083916,36.0874125874
92,1972,h,0,63,14,22.2222222222,50.0,1972-01-18,1972-03-29,7.04985119048,15.0173611111,22.2222222222,22.2222222222
92,1972,h,1,111,27,24.3243243243,50.0,1972-04-11,1972-06-30,12.8318584071,20.1267639321,26.278957529,29.7972972973
92,1972,h,2,99,3,3.0303030303,0.0,1972-07-17,1972-09-28,5.25757575758,10.4468085106,17.6919518964,22.7289546716
92,1972,h,3,50,2,4.0,0.0,1972-10-02,1972-10-18,4.0,4.0,9.77083333333,20.1583333333
93,1973,h,0,35,2,5.71428571429,28.5714285714,1973-01-03,1973-03-29,4.28571428571,11.4285714286,19.6428571429,27.5714285714
93,1973,h,1,188,12,6.3829787234,42.8571428571,1973-04-02,1973-06-30,5.36340635961,6.3829787234,16.3210445469,23.3333333333
93,1973,h,2,130,2,1.53846153846,28.5714285714,1973-07-10,1973-09-26,1.15384615385,5.38461538462,8.52764423077,16.03625
93,1973,h,3,178,10,5.61797752809,14.2857142857,1973-10-01,1973-12-21,7.557592116,10.0,13.9669163546,27.3491219808
93,1974,h,0,77,8,10.3896103896,42.8571428571,1974-01-21,1974-03-28,9.09090909091,10.3896103896,13.8157894737,22.980177717
93,1974,h,1,168,14,8.33333333333,14.2857142857,1974-04-01,1974-06-28,9.49211045365,11.377245509,16.948942352,19.9087474157
93,1974,h,2,145,15,10.3448275862,42.8571428571,1974-07-01,1974-09-30,6.15615615616,10.3448275862,15.3494874185,23.154387264
93,1974,h,3,138,6,4.34782608696,14.2857142857,1974-10-01,1974-12-20,5.72001233426,7.85714285714,10.3551201592,17.5258358663
94,1975,h,0,67,6,8.9552238806,66.6666666667,1975-01-14,1975-03-26,2.57352941176,3.69841966637,10.6226679104,17.2767857143
94,1975,h,1,192,39,20.3125,75.0,1975-04-01,1975-06-26,3.5579684135,5.79412212578,11.2636920103,20.4927884615
94,1975,h,2,146,8,5.47945205479,33.3333333333,1975-07-08,1975-09-30,3.76712328767,6.50684931507,9.93150684932,20.1497064579
94,1975,h,3,189,20,10.582010582,58.3333333333,1975-10-01,1975-12-19,1.84908169201,8.51160158461,13.2168286702,15.8364640884
94,1976,h,0,105,3,2.85714285714,16.6666666667,1976-01-19,1976-03-31,3.54447439353,5.23403483309,11.4285714286,13.0296495957
94,1976,h,1,264,17,6.43939393939,30.7692307692,1976-04-01,1976-06-30,4.11985018727,7.7868852459,14.3396226415,23.7348052967
94,1976,h,2,273,52,19.0476190476,76.9230769231,1976-07-01,1976-09-30,2.87769784173,3.23741007194,14.2857142857,32.0448179272
94,1976,h,3,7,0,0.0,0.0,1976-10-01,1976-10-01,0.0,0.0,14.2857142857,40.0
95,1977,h,0,98,2,2.04081632653,16.6666666667,1977-01-04,1977-03-31,3.25,5.58132343847,10.75,14.998989899
95,1977,h,1,263,24,9.12547528517,55.5555555556,1977-04-04,1977-06-30,4.77069056405,7.96296296296,12.8426115083,17.6348811498
95,1977,h,2,190,18,9.47368421053,77.7777777778,1977-07-11,1977-09-30,1.9135657089,5.32994923858,9.17201906143,16.5388037051
