congress,session,chamber,period,total_votes,missed_votes,percent,percentile,period_start,period_end,pctile25,pctile50,pctile75,pctile90
97,1981,h,0,15,1,6.66666666667,48.4848484848,1981-01-05,1981-03-26,0.0,6.66666666667,6.66666666667,25.3333333333
97,1981,h,1,89,7,7.86516853933,55.8823529412,1981-04-07,1981-06-26,3.37078651685,6.74157303371,10.9550561798,15.9834689397
97,1981,h,2,106,2,1.88679245283,32.3529411765,1981-07-08,1981-09-24,0.943396226415,2.85714285714,8.96226415094,10.205327414
97,1981,h,3,142,3,2.11267605634,20.5882352941,1981-10-01,1981-12-16,2.28873239437,5.65378084107,9.07696177062,16.8175182482
97,1982,h,0,48,3,6.25,52.9411764706,1982-02-09,1982-03-31,0.0,4.16666666667,7.8125,13.3333333333
97,1982,h,1,119,1,0.840336134454,17.6470588235,1982-04-01,1982-06-24,0.840336134454,4.6218487395,9.89353368466,13.813559322
97,1982,h,2,193,10,5.18134715026,52.9411764706,1982-07-13,1982-09-30,2.0725388601,4.14507772021,7.41377914508,14.8715277778
97,1982,h,3,99,4,4.0404040404,32.3529411765,1982-10-01,1982-12-21,2.28818800247,6.06060606061,10.1783137497,20.101010101
98,1983,h,0,43,1,2.32558139535,13.0434782609,1983-01-03,1983-03-24,2.32558139535,6.97674418605,11.8355481728,16.2790697674
98,1983,h,1,182,12,6.59340659341,56.5217391304,1983-04-12,1983-06-30,1.7925444721,4.94505494505,9.27883576654,15.0837988827
98,1983,h,2,130,3,2.30769230769,36.9565217391,1983-07-12,1983-09-30,0.966010733453,3.46153846154,6.18962432916,10.0721153846
98,1983,h,3,143,4,2.7972027972,34.7826086957,1983-10-04,1983-11-18,1.57342657343,4.56022850389,10.1558652615,12.9838471388
98,1984,h,0,53,12,22.641509434,89.1304347826,1984-01-24,1984-03-29,0.0,3.77358490566,9.43396226415,19.9746008708
98,1984,h,1,223,6,2.69058295964,23.9130434783,1984-04-03,1984-06-29,2.69058295964,7.39910313901,11.6246928747,16.4427896029
98,1984,h,2,95,5,5.26315789474,65.2173913043,1984-07-21,1984-09-26,1.05263157895,3.15789473684,6.50420757363,14.2105263158
98,1984,h,3,36,0,0.0,0.0,1984-10-01,1984-10-11,0.0,6.94444444444,13.1944444444,21.0714285714
99,1985,h,0,36,3,8.33333333333,48.9361702128,1985-01-03,1985-03-28,2.77777777778,8.33333333333,11.1111111111,16.6666666667
99,1985,h,1,154,11,7.14285714286,65.9574468085,1985-04-02,1985-06-27,1.62337662338,3.24675324675,7.79220779221,11.8181818182
99,1985,h,2,101,3,2.9702970297,31.914893617,1985-07-09,1985-09-26,0.990099009901,4.0,8.49584958496,12.9752975298
99,1985,h,3,148,4,2.7027027027,36.170212766,1985-10-01,1985-12-19,1.68918918919,4.05405405405,6.7797389226,9.222283508
99,1986,h,0,61,3,4.91803278689,42.5531914894,1986-01-23,1986-03-20,1.6393442623,4.91803278689,9.83606557377,16.393442623
99,1986,h,1,128,2,1.5625,29.7872340426,1986-04-09,1986-06-26,0.78125,2.34375,6.25,8.62192622951
99,1986,h,2,201,4,1.99004975124,44.6808510638,1986-07-15,1986-09-30,0.497512437811,2.0725388601,8.9552238806,11.9097977449
99,1986,h,3,60,0,0.0,0.0,1986-10-01,1986-10-17,0.0,1.66666666667,6.72316384181,17.3333333333
100,1987,h,0,39,1,2.5641025641,47.2727272727,1987-01-06,1987-03-31,0.0,2.5641025641,5.19568151147,16.9230769231
100,1987,h,1,185,12,6.48648648649,73.2142857143,1987-04-01,1987-06-30,1.06951871658,2.94117647059,6.48648648649,10.7529989883
100,1987,h,2,95,8,8.42105263158,78.5714285714,1987-07-01,1987-09-30,0.0,1.05263157895,6.57894736842,10.5823068309
100,1987,h,3,166,16,9.63855421687,76.7857142857,1987-10-01,1987-12-21,2.39520958084,5.13363516869,8.99556309069,13.0691056911
100,1988,h,0,49,0,0.0,0.0,1988-02-02,1988-03-31,0.0,4.08163265306,8.16326530612,16.3265306122
100,1988,h,1,161,10,6.21118012422,71.4285714286,1988-04-13,1988-06-29,1.24223602484,2.17973602484,6.76531482158,12.4223602484
100,1988,h,2,152,7,4.60526315789,66.6666666667,1988-07-06,1988-09-30,1.11111111111,2.02702702703,5.33333333333,13.1359649123
100,1988,h,3,89,1,1.12359550562,40.350877193,1988-10-03,1988-10-21,0.0,1.12359550562,7.86516853933,12.3595505618
101,1989,h,0,14,0,0.0,0.0,1989-01-03,1989-03-23,0.0,0.0,7.14285714286,14.2857142857
101,1989,h,1,105,3,2.85714285714,49.2307692308,1989-04-05,1989-06-29,0.952380952381,2.85714285714,5.71428571429,8.19047619048
101,1989,h,2,128,2,1.5625,43.0769230769,1989-07-11,1989-09-28,0.78125,1.5625,3.90625,7.03125
101,1989,h,3,121,4,3.30578512397,46.1538461538,1989-10-02,1989-11-21,1.65289256198,3.30578512397,6.61157024793,10.6739130435
101,1990,h,0,60,2,3.33333333333,59.0909090909,1990-01-23,1990-03-29,0.0,1.66666666667,3.33333333333,8.33333333333
101,1990,h,1,150,4,2.66666666667,45.4545454545,1990-04-03,1990-06-28,0.666666666667,2.66666666667,7.0,15.6666666667
101,1990,h,2,183,3,1.6393442623,41.5384615385,1990-07-10,1990-09-30,0.546448087432,2.18579234973,5.46448087432,8.30601092896
101,1990,h,3,143,0,0.0,0.0,1990-10-01,1990-10-27,0.0,1.3986013986,6.29370629371,11.048951049
102,1991,h,0,62,3,4.83870967742,61.6438356164,1991-01-03,1991-03-22,0.0,1.61290322581,4.83870967742,6.45161290323
102,1991,h,1,139,2,1.43884892086,32.0,1991-04-11,1991-06-26,0.719424460432,2.15827338129,5.75539568345,8.34532374101
102,1991,h,2,81,4,4.93827160494,56.0,1991-07-10,1991-09-26,1.23456790123,3.7037037037,7.40740740741,14.3209876543
102,1991,h,3,162,3,1.85185185185,40.7894736842,1991-10-01,1991-11-26,1.08024691358,1.85185185185,4.47530864198,8.95061728395
102,1992,h,0,66,6,9.09090909091,77.6315789474,1992-01-28,1992-03-31,1.13636363636,3.0303030303,7.57575757576,12.1212121212
102,1992,h,1,185,5,2.7027027027,46.0526315789,1992-04-01,1992-06-30,1.08108108108,2.7027027027,6.48648648649,10.8108108108
102,1992,h,2,196,3,1.5306122449,43.4210526316,1992-07-01,1992-09-30,0.510204081633,1.5306122449,5.73979591837,11.7346938776
102,1992,h,3,41,3,7.31707317073,69.7368421053,1992-10-01,1992-10-05,0.0,2.43902439024,7.31707317073,12.1951219512
103,1993,h,0,127,1,0.787401574803,24.5454545455,1993-01-05,1993-03-31,0.787401574803,2.36220472441,4.72440944882,7.87401574803
103,1993,h,1,190,7,3.68421052632,56.6371681416,1993-04-01,1993-06-30,1.05263157895,2.63157894737,7.89473684211,12.1052631579
103,1993,h,2,164,5,3.0487804878,66.3716814159,1993-07-01,1993-09-30,0.0,1.21951219512,3.65853658537,6.70731707317
103,1993,h,3,134,1,0.746268656716,23.8938053097,1993-10-06,1993-11-22,0.746268656716,1.49253731343,3.73134328358,6.71641791045
103,1994,h,0,95,3,3.15789473684,54.8672566372,1994-01-25,1994-03-24,1.05263157895,2.10526315789,5.26315789474,10.3157894737
103,1994,h,1,219,7,3.19634703196,61.4035087719,1994-04-12,1994-06-29,0.456621004566,1.82648401826,4.45205479452,7.62557077626
103,1994,h,2,142,0,0.0,0.0,1994-07-12,1994-09-30,0.704225352113,2.46478873239,6.33802816901,11.9718309859
103,1994,h,3,51,1,1.96078431373,47.3684210526,1994-10-03,1994-11-29,0.0,1.96078431373,3.92156862745,11.7647058824
104,1995,h,0,279,4,1.43369175627,53.8461538462,1995-01-04,1995-03-30,0.358422939068,1.0752688172,2.86738351254,5.73476702509
104,1995,h,1,189,7,3.7037037037,68.4615384615,1995-04-03,1995-06-30,0.529100529101,1.5873015873,4.62962962963,8.46560846561
104,1995,h,2,232,7,3.01724137931,66.9230769231,1995-07-10,1995-09-29,0.431034482759,1.50862068966,3.44827586207,6.55172413793
104,1995,h,3,185,5,2.7027027027,57.2519083969,1995-10-11,1995-12-22,0.540540540541,1.62162162162,4.32432432432,7.56756756757
104,1996,h,0,110,0,0.0,0.0,1996-01-03,1996-03-29,0.0,1.81818181818,5.0,9.09090909091
104,1996,h,1,182,7,3.84615384615,67.4242424242,1996-04-15,1996-06-28,0.549450549451,2.1978021978,4.3956043956,7.14285714286
104,1996,h,2,163,6,3.68098159509,66.6666666667,1996-07-10,1996-09-28,0.613496932515,1.84049079755,4.29447852761,7.30061349693
105,1997,s,0,35,0,0.0,0.0,1997-01-22,1997-03-20,0.0,0.0,0.0,2.85714285714
105,1997,s,1,125,10,8.0,94.8717948718,1997-04-10,1997-06-27,0.0,0.8,2.0,5.76
105,1997,s,2,103,0,0.0,0.0,1997-07-08,1997-09-30,0.0,0.0,1.45631067961,4.07766990291
105,1997,s,3,35,0,0.0,0.0,1997-10-01,1997-11-08,0.0,0.0,2.85714285714,8.57142857143
105,1998,s,0,52,1,1.92307692308,33.3333333333,1998-01-28,1998-03-31,0.0,1.92307692308,3.84615384615,11.9230769231
105,1998,s,1,131,0,0.0,0.0,1998-04-01,1998-06-26,0.0,0.0,1.52671755725,6.56488549618
105,1998,s,2,109,3,2.75229357798,71.7948717949,1998-07-07,1998-09-29,0.0,0.917431192661,2.75229357798,6.42201834862
105,1998,s,3,22,0,0.0,0.0,1998-10-01,1998-10-21,0.0,0.0,0.0,4.54545454545
106,1999,s,0,81,0,0.0,0.0,1999-01-08,1999-03-25,0.0,0.0,1.23456790123,3.95061728395
106,1999,s,1,111,1,0.900900900901,45.0,1999-04-13,1999-06-30,0.0,0.900900900901,2.25225225225,7.2972972973
106,1999,s,2,112,1,0.892857142857,55.0,1999-07-01,1999-09-30,0.0,0.0,1.78571428571,4.55357142857
106,1999,s,3,70,0,0.0,0.0,1999-10-01,1999-11-19,0.0,0.0,2.85714285714,4.71428571429
106,2000,s,0,51,0,0.0,0.0,2000-02-01,2000-03-30,0.0,0.0,0.0,2.35294117647
106,2000,s,1,120,0,0.0,0.0,2000-04-05,2000-06-30,0.0,0.833333333333,2.70833333333,5.16666666667
106,2000,s,2,89,0,0.0,0.0,2000-07-10,2000-09-28,0.0,1.12359550562,2.52808988764,7.97752808989
106,2000,s,3,38,0,0.0,0.0,2000-10-02,2000-12-07,0.0,5.26315789474,10.5263157895,13.4210526316
107,2001,s,0,63,0,0.0,0.0,2001-01-23,2001-03-30,0.0,0.0,1.5873015873,3.1746031746
107,2001,s,1,157,0,0.0,0.0,2001-04-02,2001-06-29,0.0,0.636942675159,1.27388535032,2.92993630573
107,2001,s,2,68,5,7.35294117647,84.4444444444,2001-07-10,2001-09-26,0.0,0.0,1.47058823529,9.11764705882
107,2001,s,3,92,1,1.08695652174,44.4444444444,2001-10-02,2001-12-20,0.0,1.08695652174,2.17391304348,4.34782608696
107,2002,s,0,59,4,6.77966101695,73.3333333333,2002-01-23,2002-03-21,0.0,1.69491525424,6.77966101695,12.2033898305
107,2002,s,1,107,3,2.80373831776,66.6666666667,2002-04-09,2002-06-27,0.0,0.934579439252,2.80373831776,4.67289719626
107,2002,s,2,61,2,3.27868852459,62.2222222222,2002-07-09,2002-09-26,0.0,1.6393442623,3.27868852459,5.90163934426
107,2002,s,3,26,0,0.0,0.0,2002-10-01,2002-11-19,0.0,0.0,3.84615384615,7.69230769231
108,2003,s,0,112,0,0.0,0.0,2003-01-07,2003-03-31,0.0,0.892857142857,2.67857142857,9.46428571429
108,2003,s,1,150,2,1.33333333333,53.8461538462,2003-04-01,2003-06-26,0.0,0.666666666667,1.5,3.33333333333
108,2003,s,2,108,1,0.925925925926,50.0,2003-07-08,2003-09-30,0.0,0.462962962963,1.85185185185,3.7037037037
108,2003,s,3,89,0,0.0,0.0,2003-10-01,2003-11-25,0.0,1.12359550562,2.24719101124,6.62921348315
108,2004,s,0,64,0,0.0,0.0,2004-01-20,2004-03-30,0.0,0.0,1.5625,9.375
108,2004,s,1,88,2,2.27272727273,69.2307692308,2004-04-01,2004-06-24,0.0,1.13636363636,2.27272727273,5.56818181818
108,2004,s,2,42,0,0.0,0.0,2004-07-06,2004-09-30,0.0,0.0,2.38095238095,7.14285714286
108,2004,s,3,22,0,0.0,0.0,2004-10-04,2004-12-08,0.0,0.0,4.54545454545,21.8181818182
109,2005,s,0,81,1,1.23456790123,50.0,2005-01-06,2005-03-17,0.0,0.617283950617,2.46913580247,2.83950617284
109,2005,s,1,89,0,0.0,0.0,2005-04-05,2005-06-30,0.0,1.12359550562,3.08988764045,5.95505617978
109,2005,s,2,76,6,7.89473684211,89.6551724138,2005-07-01,2005-09-30,0.0,1.31578947368,2.63157894737,6.97368421053
109,2005,s,3,120,0,0.0,0.0,2005-10-05,2005-12-21,0.0,0.833333333333,2.5,5.83333333333
109,2006,s,0,83,0,0.0,0.0,2006-01-30,2006-03-30,0.0,0.0,2.40963855422,6.02409638554
