congress,session,chamber,period,total_votes,missed_votes,percent,percentile,period_start,period_end,pctile25,pctile50,pctile75,pctile90
104,1996,h,1,93,2,2.15053763441,43.9393939394,1996-04-15,1996-06-28,0.549450549451,2.1978021978,4.3956043956,7.14285714286
104,1996,h,2,163,10,6.13496932515,84.8484848485,1996-07-10,1996-09-28,0.613496932515,1.84049079755,4.29447852761,7.30061349693
105,1997,h,0,71,5,7.04225352113,79.6178343949,1997-01-07,1997-03-21,0.0,1.40845070423,5.6338028169,9.85915492958
105,1997,h,1,174,4,2.29885057471,54.1401273885,1997-04-08,1997-06-26,0.574712643678,1.72413793103,4.02298850575,7.12643678161
105,1997,h,2,232,11,4.74137931034,77.7070063694,1997-07-08,1997-09-30,0.431034482759,1.72413793103,3.87931034483,7.5
105,1997,h,3,163,13,7.9754601227,86.6242038217,1997-10-01,1997-11-13,0.613496932515,1.84049079755,4.29447852761,8.58895705521
105,1998,h,0,89,1,1.12359550562,27.0440251572,1998-01-27,1998-03-31,0.0,2.24719101124,5.61797752809,11.6853932584
105,1998,h,1,185,2,1.08108108108,33.950617284,1998-04-01,1998-06-25,0.540540540541,2.16216216216,4.86486486486,9.67567567568
105,1998,h,2,199,6,3.01507537688,61.7283950617,1998-07-14,1998-09-28,0.502512562814,2.01005025126,4.52261306533,9.39698492462
105,1998,h,3,74,0,0.0,0.0,1998-10-01,1998-12-19,0.0,1.35135135135,4.05405405405,7.97297297297
106,1999,h,0,77,0,0.0,0.0,1999-01-06,1999-03-25,0.0,1.2987012987,3.8961038961,7.79220779221
106,1999,h,1,184,1,0.54347826087,16.393442623,1999-04-12,1999-06-30,0.54347826087,1.63043478261,4.34782608696,7.60869565217
106,1999,h,2,204,0,0.0,0.0,1999-07-01,1999-09-30,0.0,1.47058823529,2.94117647059,7.35294117647
106,1999,h,3,146,11,7.53424657534,84.2391304348,1999-10-01,1999-11-18,0.684931506849,2.05479452055,4.1095890411,9.58904109589
106,2000,h,0,95,1,1.05263157895,23.9130434783,2000-01-27,2000-03-30,1.05263157895,3.15789473684,7.36842105263,13.6842105263
106,2000,h,1,277,14,5.05415162455,75.0,2000-04-03,2000-06-30,0.361010830325,2.16606498195,4.78339350181,10.0
106,2000,h,2,130,0,0.0,0.0,2000-07-10,2000-09-28,0.0,1.53846153846,4.61538461538,9.0
106,2000,h,3,101,10,9.90099009901,67.9347826087,2000-10-02,2000-12-15,1.9801980198,6.93069306931,11.8811881188,22.4752475248
107,2001,h,0,75,0,0.0,0.0,2001-01-03,2001-03-29,0.0,1.33333333333,4.0,8.0
107,2001,h,1,135,4,2.96296296296,61.2440191388,2001-04-03,2001-06-28,0.740740740741,2.22222222222,3.7037037037,7.40740740741
107,2001,h,2,149,23,15.4362416107,97.1291866029,2001-07-10,2001-09-25,0.671140939597,1.34228187919,3.35570469799,7.38255033557
107,2001,h,3,153,1,0.653594771242,22.0657276995,2001-10-02,2001-12-20,0.653594771242,1.96078431373,4.57516339869,7.71241830065
107,2002,h,0,79,4,5.06329113924,70.5607476636,2002-01-23,2002-03-20,0.0,1.26582278481,5.06329113924,10.1265822785
107,2002,h,1,203,1,0.492610837438,14.4859813084,2002-04-09,2002-06-28,0.492610837438,2.46305418719,4.92610837438,8.22660098522
107,2002,h,2,141,2,1.41843971631,38.3177570093,2002-07-08,2002-09-26,0.0,2.12765957447,5.67375886525,10.4255319149
107,2002,h,3,61,1,1.6393442623,44.3925233645,2002-10-01,2002-11-15,0.0,1.6393442623,4.91803278689,13.1147540984
108,2003,h,0,94,0,0.0,0.0,2003-01-07,2003-03-31,0.0,2.12765957447,4.25531914894,8.51063829787
108,2003,h,1,239,7,2.92887029289,62.4489795918,2003-04-01,2003-06-27,0.418410041841,1.67364016736,4.18410041841,7.94979079498
108,2003,h,2,193,1,0.518134715026,18.7755102041,2003-07-08,2003-09-30,0.518134715026,1.55440414508,4.14507772021,10.4663212435
108,2003,h,3,151,14,9.27152317881,85.306122449,2003-10-01,2003-12-08,0.662251655629,2.64900662252,6.62251655629,11.2582781457
108,2004,h,0,104,0,0.0,0.0,2004-01-20,2004-03-31,0.961538461538,3.84615384615,7.69230769231,13.9423076923
108,2004,h,1,221,4,1.80995475113,42.2764227642,2004-04-01,2004-06-25,0.452488687783,2.26244343891,4.97737556561,9.50226244344
108,2004,h,2,161,34,21.1180124224,97.1659919028,2004-07-06,2004-09-30,0.621118012422,3.10559006211,6.21118012422,12.4223602484
108,2004,h,3,58,5,8.62068965517,75.3036437247,2004-10-04,2004-12-07,0.0,1.72413793103,6.89655172414,17.2413793103
