congress,session,chamber,period,total_votes,missed_votes,percent,percentile,period_start,period_end,pctile25,pctile50,pctile75,pctile90
96,1979,h,0,62,3,4.83870967742,62.5,1979-01-15,1979-03-29,0.0,1.5873015873,10.4215456674,27.4193548387
96,1979,h,1,219,8,3.65296803653,33.3333333333,1979-04-02,1979-06-28,2.38636363636,5.48910766653,10.5740503628,19.7746478873
96,1979,h,2,198,1,0.505050505051,12.5,1979-07-10,1979-09-28,1.38888888889,3.0303030303,10.0112803158,20.5987721583
96,1979,h,3,190,14,7.36842105263,33.3333333333,1979-10-09,1979-12-20,5.41737408036,7.89473684211,11.7265385686,24.4599018003
96,1980,h,0,148,14,9.45945945946,58.3333333333,1980-01-22,1980-03-31,4.56081081081,7.22306813856,14.1591077379,21.1164736165
96,1980,h,1,195,5,2.5641025641,25.0,1980-04-01,1980-06-27,2.56083202512,6.95120016919,12.0678033307,19.8202720207
96,1980,h,2,192,9,4.6875,45.8333333333,1980-07-01,1980-09-30,3.03540264273,4.6875,13.2114507685,18.700986701
96,1980,h,3,67,0,0.0,0.0,1980-10-01,1980-12-15,2.61194029851,8.9552238806,16.4179104478,28.9552238806
97,1981,h,0,15,0,0.0,0.0,1981-01-05,1981-03-26,0.0,6.66666666667,6.66666666667,25.3333333333
97,1981,h,1,89,10,11.2359550562,73.5294117647,1981-04-07,1981-06-26,3.37078651685,6.74157303371,10.9550561798,15.9834689397
97,1981,h,2,105,0,0.0,0.0,1981-07-08,1981-09-24,0.943396226415,2.85714285714,8.96226415094,10.205327414
97,1981,h,3,141,7,4.96453900709,44.1176470588,1981-10-01,1981-12-16,2.28873239437,5.65378084107,9.07696177062,16.8175182482
97,1982,h,0,48,3,6.25,52.9411764706,1982-02-09,1982-03-31,0.0,4.16666666667,7.8125,13.3333333333
97,1982,h,1,119,8,6.72268907563,64.7058823529,1982-04-01,1982-06-24,0.840336134454,4.6218487395,9.89353368466,13.813559322
97,1982,h,2,193,3,1.55440414508,17.6470588235,1982-07-13,1982-09-30,2.0725388601,4.14507772021,7.41377914508,14.8715277778
97,1982,h,3,99,10,10.101010101,61.7647058824,1982-10-01,1982-12-21,2.28818800247,6.06060606061,10.1783137497,20.101010101
98,1983,h,0,43,2,4.6511627907,32.6086956522,1983-01-03,1983-03-24,2.32558139535,6.97674418605,11.8355481728,16.2790697674
98,1983,h,1,182,4,2.1978021978,26.0869565217,1983-04-12,1983-06-30,1.7925444721,4.94505494505,9.27883576654,15.0837988827
98,1983,h,2,129,11,8.52713178295,84.7826086957,1983-07-12,1983-09-30,0.966010733453,3.46153846154,6.18962432916,10.0721153846
98,1983,h,3,143,3,2.0979020979,26.0869565217,1983-10-04,1983-11-18,1.57342657343,4.56022850389,10.1558652615,12.9838471388
98,1984,h,0,53,2,3.77358490566,43.4782608696,1984-01-24,1984-03-29,0.0,3.77358490566,9.43396226415,19.9746008708
98,1984,h,1,222,6,2.7027027027,32.6086956522,1984-04-03,1984-06-29,2.69058295964,7.39910313901,11.6246928747,16.4427896029
98,1984,h,2,94,1,1.06382978723,36.9565217391,1984-07-21,1984-09-26,1.05263157895,3.15789473684,6.50420757363,14.2105263158
98,1984,h,3,36,1,2.77777777778,30.4347826087,1984-10-01,1984-10-11,0.0,6.94444444444,13.1944444444,21.0714285714
99,1985,h,0,36,0,0.0,0.0,1985-01-03,1985-03-28,2.77777777778,8.33333333333,11.1111111111,16.6666666667
99,1985,h,1,154,2,1.2987012987,19.1489361702,1985-04-02,1985-06-27,1.62337662338,3.24675324675,7.79220779221,11.8181818182
99,1985,h,2,100,4,4.0,48.9361702128,1985-07-09,1985-09-26,0.990099009901,4.0,8.49584958496,12.9752975298
99,1985,h,3,145,6,4.13793103448,53.1914893617,1985-10-01,1985-12-19,1.68918918919,4.05405405405,6.7797389226,9.222283508
99,1986,h,0,61,2,3.27868852459,34.0425531915,1986-01-23,1986-03-20,1.6393442623,4.91803278689,9.83606557377,16.393442623
99,1986,h,1,128,1,0.78125,19.1489361702,1986-04-09,1986-06-26,0.78125,2.34375,6.25,8.62192622951
99,1986,h,2,193,4,2.0725388601,48.9361702128,1986-07-15,1986-09-30,0.497512437811,2.0725388601,8.9552238806,11.9097977449
99,1986,h,3,60,0,0.0,0.0,1986-10-01,1986-10-17,0.0,1.66666666667,6.72316384181,17.3333333333
100,1987,h,0,39,2,5.12820512821,67.2727272727,1987-01-06,1987-03-31,0.0,2.5641025641,5.19568151147,16.9230769231
100,1987,h,1,186,8,4.30107526882,60.7142857143,1987-04-01,1987-06-30,1.06951871658,2.94117647059,6.48648648649,10.7529989883
100,1987,h,2,95,2,2.10526315789,55.3571428571,1987-07-01,1987-09-30,0.0,1.05263157895,6.57894736842,10.5823068309
100,1987,h,3,165,22,13.3333333333,89.2857142857,1987-10-01,1987-12-21,2.39520958084,5.13363516869,8.99556309069,13.0691056911
100,1988,h,0,49,10,20.4081632653,94.6428571429,1988-02-02,1988-03-31,0.0,4.08163265306,8.16326530612,16.3265306122
100,1988,h,1,161,31,19.2546583851,96.4285714286,1988-04-13,1988-06-29,1.24223602484,2.17973602484,6.76531482158,12.4223602484
100,1988,h,2,150,8,5.33333333333,73.6842105263,1988-07-06,1988-09-30,1.11111111111,2.02702702703,5.33333333333,13.1359649123
100,1988,h,3,89,13,14.606741573,91.2280701754,1988-10-03,1988-10-21,0.0,1.12359550562,7.86516853933,12.3595505618
109,2005,h,0,90,1,1.11111111111,19.4139194139,2005-01-04,2005-03-21,1.11111111111,2.22222222222,5.55555555556,8.88888888889
