"","id","missed_votes","last_name","first_name","swing","combined_name","state","diff12"
"154",400237,18,"Lee","Barbara",FALSE,"Lee, Barbara","CA",NA
"155",400349,18,"Ruppersberger","C.",FALSE,"Ruppersberger, C.","MD",NA
"156",412307,18,"Pingree","Chellie",FALSE,"Pingree, Chellie","ME",NA
"157",412537,18,"Bustos","Cheri",FALSE,"Bustos, Cheri","IL",NA
"158",412584,18,"Heck","Denny",FALSE,"Heck, Denny","WA",NA
"159",400052,17,"Burgess","Michael",FALSE,"Burgess, Michael","TX",NA
"160",400090,17,"Cummings","Elijah",FALSE,"Cummings, Elijah","MD",NA
"161",400376,17,"Simpson","Michael",FALSE,"Simpson, Michael","ID",NA
"162",400402,17,"Thompson","Bennie",FALSE,"Thompson, Bennie","MS",NA
"163",412208,17,"Braley","Bruce",FALSE,"Braley, Bruce","IA",NA
"164",412405,17,"Tipton","Scott",FALSE,"Tipton, Scott","CO",NA
"165",412418,17,"Hanabusa","Colleen",FALSE,"Hanabusa, Colleen","HI",NA
"166",412532,17,"Gabbard","Tulsi",FALSE,"Gabbard, Tulsi","HI",NA
"167",400030,16,"Bishop","Sanford",FALSE,"Bishop, Sanford","GA",NA
"168",400046,16,"Brady","Kevin",FALSE,"Brady, Kevin","TX",NA
"169",400060,16,"Cantor","Eric",FALSE,"Cantor, Eric","VA",NA
"170",412236,16,"Cohen","Steve",FALSE,"Cohen, Steve","TN",NA
"171",412276,16,"Grayson","Alan",FALSE,"Grayson, Alan","FL",NA
"172",412392,16,"Stutzman","Marlin",FALSE,"Stutzman, Marlin","IN",NA
"173",412400,16,"Crawford","Eric",FALSE,"Crawford, Eric","AR",NA
"174",412480,16,"Flores","Bill",FALSE,"Flores, Bill","TX",NA
"175",412529,16,"Frankel","Lois",FALSE,"Frankel, Lois","FL",NA
"176",412550,16,"Hudson","Richard",FALSE,"Hudson, Richard","NC",NA
"177",400021,15,"Becerra","Xavier",FALSE,"Becerra, Xavier","CA",NA
"178",400114,15,"Doyle","Michael",FALSE,"Doyle, Michael","PA",NA
"179",400262,15,"McDermott","Jim",FALSE,"McDermott, Jim","WA",NA
"180",400347,15,"Roybal-Allard","Lucille",FALSE,"Roybal-Allard, Lucille","CA",NA
"181",400365,15,"Sensenbrenner","F.",FALSE,"Sensenbrenner, F.","WI",NA
"182",400640,15,"Fortenberry","Jeff",FALSE,"Fortenberry, Jeff","NE",NA
"183",400644,15,"McHenry","Patrick",FALSE,"McHenry, Patrick","NC",NA
"184",412470,15,"Cicilline","David",FALSE,"Cicilline, David","RI",NA
"185",412475,15,"Noem","Kristi",FALSE,"Noem, Kristi","SD",NA
"186",412522,15,"Vargas","Juan",FALSE,"Vargas, Juan","CA",NA
"187",400124,14,"Eshoo","Anna",FALSE,"Eshoo, Anna","CA",NA
"188",400219,14,"King","Peter",TRUE,"King, Peter","NY",4.4
"189",400267,14,"McKeon","Howard",TRUE,"McKeon, Howard","CA",-1.9
"190",400431,14,"Whitfield","Ed",FALSE,"Whitfield, Ed","KY",NA
"191",412191,14,"Lamborn","Doug",FALSE,"Lamborn, Doug","CO",NA
"192",412215,14,"Ellison","Keith",FALSE,"Ellison, Keith","MN",NA
"193",412269,14,"Cassidy","Bill",FALSE,"Cassidy, Bill","LA",NA
"194",412536,14,"Davis","Rodney",TRUE,"Davis, Rodney","IL",-0.299999999999997
"195",412543,14,"Kennedy","Joseph",FALSE,"Kennedy, Joseph","MA",NA
"196",412553,14,"Holding","George",FALSE,"Holding, George","NC",NA
"197",412577,14,"Gallego","Pete",TRUE,"Gallego, Pete","TX",-2.6
"198",400081,13,"Cooper","Jim",FALSE,"Cooper, Jim","TN",NA
"199",400100,13,"DeFazio","Peter",FALSE,"DeFazio, Peter","OR",NA
"200",400121,13,"Emerson","Jo Ann",FALSE,"NA, NA","MO",NA
"201",400313,13,"Pearce","Stevan",FALSE,"Pearce, Stevan","NM",NA
"202",400406,13,"Tiberi","Patrick",FALSE,"Tiberi, Patrick","OH",NA
"203",412213,13,"Walberg","Tim",TRUE,"Walberg, Tim","MI",-3.1
"204",412533,13,"Duckworth","Tammy",FALSE,"Duckworth, Tammy","IL",NA
"205",400006,12,"Alexander","Rodney",FALSE,"NA, NA","LA",NA
"206",400033,12,"Blumenauer","Earl",FALSE,"Blumenauer, Earl","OR",NA
"207",400160,12,"Green","Gene",FALSE,"Green, Gene","TX",NA
"208",400233,12,"Larson","John",FALSE,"Larson, John","CT",NA
"209",412217,12,"Smith","Adrian",FALSE,"Smith, Adrian","NE",NA
"210",412250,12,"Bilirakis","Gus",FALSE,"Bilirakis, Gus","FL",NA
"211",412393,12,"Reed","Tom",TRUE,"Reed, Tom","NY",-1.2
"212",412488,12,"Duffy","Sean",TRUE,"Duffy, Sean","WI",-3.1
"213",412511,12,"Huffman","Jared",FALSE,"Huffman, Jared","CA",NA
"214",412527,12,"Murphy","Patrick",TRUE,"Murphy, Patrick","FL",-4.1
"215",412528,12,"Radel","Trey",FALSE,"Radel, Trey","FL",NA
"216",412548,12,"Wagner","Ann",FALSE,"Wagner, Ann","MO",NA
"217",400047,11,"Brady","Robert",FALSE,"Brady, Robert","PA",NA
"218",400111,11,"Doggett","Lloyd",FALSE,"Doggett, Lloyd","TX",NA
"219",400154,11,"Goodlatte","Bob",FALSE,"Goodlatte, Bob","VA",NA
"220",400165,11,"Hall","Ralph",FALSE,"Hall, Ralph","TX",NA
"221",400320,11,"Pitts","Joseph",FALSE,"Pitts, Joseph","PA",NA
"222",400435,11,"Wolf","Frank",TRUE,"Wolf, Frank","VA",-1.1
"223",400653,11,"Green","Al",FALSE,"Green, Al","TX",NA
"224",408211,11,"Nolan","Richard",FALSE,"Nolan, Richard","MN",NA
"225",412226,11,"Jordan","Jim",FALSE,"Jordan, Jim","OH",NA
"226",412239,11,"Welch","Peter",FALSE,"Welch, Peter","VT",NA
"227",412282,11,"Himes","James",FALSE,"Himes, James","CT",NA
"228",412412,11,"Wilson","Frederica",FALSE,"Wilson, Frederica","FL",NA
"229",412444,11,"Hartzler","Vicky",FALSE,"Hartzler, Vicky","MO",NA
"230",412463,11,"Gibbs","Bob",FALSE,"Gibbs, Bob","OH",NA
"231",412473,11,"Gowdy","Trey",FALSE,"Gowdy, Trey","SC",NA
"232",400147,10,"Gerlach","Jim",TRUE,"Gerlach, Jim","PA",-2.5
"233",400204,10,"Johnson","Eddie",FALSE,"Johnson, Eddie","TX",NA
"234",400348,10,"Royce","Edward",TRUE,"Royce, Edward","CA",-3.7
"235",400352,10,"Ryan","Tim",FALSE,"Ryan, Tim","OH",NA
"236",400360,10,"Schakowsky","Janice",FALSE,"Schakowsky, Janice","IL",NA
"237",400403,10,"Thompson","Mike",FALSE,"Thompson, Mike","CA",NA
"238",412193,10,"Courtney","Joe",FALSE,"Courtney, Joe","CT",NA
"239",412261,10,"Scalise","Steve",FALSE,"Scalise, Steve","LA",NA
"240",412305,10,"Peters","Gary",FALSE,"Peters, Gary","MI",NA
"241",412315,10,"Schrader","Kurt",TRUE,"Schrader, Kurt","OR",3.4
"242",412396,10,"Sewell","Terri",FALSE,"Sewell, Terri","AL",NA
"243",412544,10,"Delaney","John",FALSE,"Delaney, John","MD",NA
"244",412552,10,"Meadows","Mark",FALSE,"Meadows, Mark","NC",NA
"245",412557,10,"Kuster","Ann",FALSE,"Kuster, Ann","NH",NA
"246",400263,9,"McGovern","James",FALSE,"McGovern, James","MA",NA
"247",400415,9,"Van Hollen","Chris",FALSE,"Van Hollen, Chris","MD",NA
"248",400607,9,"Sanford","Marshall",FALSE,"Sanford, Marshall","SC",NA
"249",412189,9,"McNerney","Jerry",FALSE,"McNerney, Jerry","CA",NA
"250",412297,9,"Maffei","Daniel",FALSE,"Maffei, Daniel","NY",NA
"251",412311,9,"Rooney","Thomas",FALSE,"Rooney, Thomas","FL",NA
"252",412417,9,"Scott","Austin",FALSE,"Scott, Austin","GA",NA
"253",412427,9,"Bucshon","Larry",FALSE,"Bucshon, Larry","IN",NA
"254",412429,9,"Huelskamp","Tim",FALSE,"Huelskamp, Tim","KS",NA
"255",412431,9,"Pompeo","Mike",FALSE,"Pompeo, Mike","KS",NA
"256",412457,9,"Ellmers","Renee",FALSE,"Ellmers, Renee","NC",NA
"257",412461,9,"Stivers","Steve",FALSE,"Stivers, Steve","OH",NA
"258",412476,9,"Fleischmann","Charles",FALSE,"Fleischmann, Charles","TN",NA
"259",412477,9,"DesJarlais","Scott",FALSE,"DesJarlais, Scott","TN",NA
"260",412523,9,"Peters","Scott",FALSE,"Peters, Scott","CA",NA
