id,total_votes,missed_votes,percent,percentile,first_vote_date,last_vote_date
400314,12796,665,5.19693654267,82.6966292135,1987-06-09,2013-01-01
412426,1606,83,5.16811955168,82.4719101124,2011-01-05,2013-01-01
400616,6491,335,5.16099214297,82.2471910112,2004-07-21,2013-01-01
400144,16202,828,5.11048018763,82.0224719101,1987-01-06,2013-01-01
412200,5137,260,5.06131983648,81.797752809,2007-01-04,2013-01-01
412315,3261,165,5.0597976081,81.5730337079,2009-01-06,2013-01-01
400367,10963,551,5.0259965338,81.3483146067,1997-01-07,2013-01-01
412314,3261,163,4.998466728,81.1235955056,2009-01-06,2013-01-01
400344,15058,745,4.94753619339,80.8988764045,1989-05-17,2013-01-01
400288,12309,604,4.90697863352,80.6741573034,1995-01-04,2013-01-01
400204,13431,656,4.88422306604,80.4494382022,1993-01-05,2013-01-01
400047,10154,493,4.85522946622,80.2247191011,1998-05-21,2013-01-01
400346,10969,529,4.82268210411,80.0,1997-01-07,2013-01-01
400618,6351,306,4.81813887577,79.7752808989,2005-01-04,2013-01-01
412308,3261,156,4.78380864765,79.5505617978,2009-01-06,2013-01-01
400289,13431,642,4.77998659817,79.3258426966,1993-01-05,2013-01-01
400661,6351,302,4.75515666824,79.1011235955,2005-01-04,2013-01-01
412397,1606,76,4.73225404732,78.8764044944,2011-01-05,2013-01-01
400140,18808,880,4.67886005955,78.6516853933,1981-01-05,2013-01-01
412199,5137,237,4.6135876971,78.4269662921,2007-01-04,2013-01-01
400108,7572,349,4.60908610671,78.202247191,2003-01-07,2013-01-01
412419,1606,74,4.60772104608,77.9775280899,2011-01-05,2013-01-01
400641,6351,292,4.59770114943,77.7528089888,2005-01-04,2013-01-01
400109,21611,992,4.59025496275,77.5280898876,1977-01-04,2013-01-01
400038,7572,345,4.55625990491,77.3033707865,2003-01-07,2013-01-01
400251,13431,604,4.49705904251,77.0786516854,1993-01-05,2013-01-01
400039,10230,459,4.48680351906,76.8539325843,1998-04-21,2013-01-01
400623,6351,283,4.45599118249,76.6292134831,2005-01-04,2013-01-01
400046,10969,488,4.44890144954,76.404494382,1997-01-07,2013-01-01
400257,10969,486,4.43066824688,76.1797752809,1997-01-07,2013-01-01
400185,8563,376,4.39098446806,75.9550561798,2001-01-03,2013-01-01
400158,8568,375,4.37675070028,75.7303370787,2001-01-03,2013-01-01
400068,7572,331,4.37136819863,75.2808988764,2003-01-07,2013-01-01
400349,7572,331,4.37136819863,75.2808988764,2003-01-07,2013-01-01
400063,9782,425,4.34471478225,75.0561797753,1999-01-06,2013-01-01
400416,13431,583,4.3407043407,74.8314606742,1993-01-05,2013-01-01
412500,900,39,4.33333333333,74.606741573,2011-09-15,2013-01-01
400309,10969,473,4.31215242957,74.3820224719,1997-01-07,2013-01-01
400101,10969,472,4.30303582824,74.1573033708,1997-01-07,2013-01-01
400436,13431,573,4.2662497208,73.9325842697,1993-01-05,2013-01-01
400262,15266,645,4.2250753308,73.7078651685,1989-01-03,2013-01-01
400570,9165,387,4.22258592471,73.4831460674,1995-01-04,2013-01-01
400114,12309,515,4.18393045739,73.2584269663,1995-01-04,2013-01-01
412398,1606,66,4.1095890411,73.0337078652,2011-01-05,2013-01-01
400033,11225,461,4.10690423163,72.808988764,1996-05-30,2013-01-01
400253,21613,887,4.10401147458,72.5842696629,1977-01-04,2013-01-01
412253,4289,175,4.08020517603,72.3595505618,2007-09-04,2013-01-01
412186,5164,210,4.06661502711,72.1348314607,2006-11-13,2013-01-01
